Município,Etapa,Componente Curricular,Ano,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,Não Alfabetizado,Alfabetização Incompleta,Muito Crítico,Crítico,Intermediário,Adequado,Suficiente,Desejável,Alunos Previstos,Alunos Efetivos,Percentual de Participação,Taxa de Participação,Proficiência Padronizada,N° de Alunos no Não Alfabetizado,N° de Alunos no Alfabetização Incompleta,N° de Alunos Muito Crítico,N° de Alunos no Crítico,N° de Alunos no Intermediário,N° de Alunos no Adequado,N° de Alunos no Suficiente,N° de Alunos no Desejável,Média CREDE
PACATUBA,5° Ano,Matemática,2016,212.6,40.2,Intermediário,0,0,4.7,36.8,39.7,18.8,0,0,773,764,98.8,0.99,5.63,0,0,36,281,303,144,0,0,217.65
AQUIRAZ,9° Ano,Língua Portuguesa,2016,256,42.7,Intermediário,0,0,9.6,33.5,41.6,15.4,0,0,990,931,94,0.9404,5.3152,0,0,89,312,387,143,0,0,250.13
CAUCAIA,9° Ano,Língua Portuguesa,2016,242,45.7,Crítico,0,0,19.2,36.7,33,11.1,0,0,4137,3778,91.3,0.9132,4.6005,0,0,727,1385,1247,419,0,0,250.13
EUSEBIO,9° Ano,Língua Portuguesa,2016,264,45,Intermediário,0,0,8.3,27,42.5,22.2,0,0,777,796,102.4,1,5.6994,0,0,66,215,338,177,0,0,250.13
GUAIUBA,9° Ano,Língua Portuguesa,2016,238,44.9,Crítico,0,0,20.4,41.1,30.6,7.8,0,0,359,333,92.8,0.9276,4.3856,0,0,68,137,102,26,0,0,250.13
ITAITINGA,9° Ano,Língua Portuguesa,2016,251,45.8,Intermediário,0,0,14.2,34.5,36.4,14.8,0,0,472,472,100,1,5.0626,0,0,67,163,172,70,0,0,250.13
MARACANAU,9° Ano,Língua Portuguesa,2016,257,43,Intermediário,0,0,10.5,32.4,41.3,15.9,0,0,2573,2593,100.8,1,5332,0,0,272,839,1071,411,0,0,250.13
MARANGUAPE,9° Ano,Língua Portuguesa,2016,245,44.6,Crítico,0,0,15.9,39.7,32.2,12.2,0,0,1194,1160,97.2,0.9715,4.7573,0,0,185,460,374,141,0,0,250.13
PACATUBA,9° Ano,Língua Portuguesa,2016,248,45,Crítico,0,0,15.2,37.1,34.3,13.5,0,0,727,706,97.1,0.9711,4.9002,0,0,107,262,242,95,0,0,250.13
AQUIRAZ,9° Ano,Matemática,2016,254.3,42.1,Crítico,0,0,26.2,42.6,26,5.2,0,0,990,931,94,0.9404,3964,0,0,244,397,242,48,0,0,246.94
CAUCAIA,9° Ano,Matemática,2016,240.3,42.4,Crítico,0,0,38.4,40.4,18.5,2.8,0,0,4137,3778,91.3,0.9132,3.2639,0,0,1449,1525,698,106,0,0,246.94
EUSEBIO,9° Ano,Matemática,2016,263.4,47.3,Crítico,0,0,21.5,37.6,30.7,10.3,0,0,777,796,102.4,1,4.4187,0,0,171,299,244,82,0,0,246.94
GUAIUBA,9° Ano,Matemática,2016,230.3,37.2,Crítico,0,0,46.8,39,13.8,0.3,0,0,359,333,92.8,0.9276,2765,0,0,156,130,46,1,0,0,246.94
ITAITINGA,9° Ano,Matemática,2016,248.1,37.8,Crítico,0,0,28.2,47.6,21.4,2.8,0,0,472,471,99.8,0.9979,3.6551,0,0,133,224,101,13,0,0,246.94
MARACANAU,9° Ano,Matemática,2016,250.4,40.5,Crítico,0,0,27.8,44.9,23.6,3.7,0,0,2573,2593,100.8,1,3.7698,0,0,721,1163,613,96,0,0,246.94
MARANGUAPE,9° Ano,Matemática,2016,242.3,41.7,Crítico,0,0,34.7,44.6,17.9,2.8,0,0,1194,1160,97.2,0.9715,3.3635,0,0,402,517,208,33,0,0,246.94
PACATUBA,9° Ano,Matemática,2016,246.4,39.7,Crítico,0,0,31,43.8,22.9,2.3,0,0,727,706,97.1,0.9711,3.5693,0,0,219,309,162,16,0,0,246.94
AQUIRAZ,2° Ano,Língua Portuguesa,2017,166.9,46.7,Desejável,1.2,5.7,0,0,12.4,0,16.6,64.1,1031,1066,103.4,1,8.35,13,61,0,0,132,0,177,683,181.55
CAUCAIA,2° Ano,Língua Portuguesa,2017,152.1,48,Desejável,3,12.3,0,0,16.7,0,18,49.9,3803,3816,100.3,1,7.61,116,471,0,0,636,0,688,1905,181.55
EUSEBIO,2° Ano,Língua Portuguesa,2017,215.9,52.9,Desejável,0,0.7,0,0,2.7,0,9,87.6,836,879,105.1,1,10,0,6,0,0,24,0,79,770,181.55
GUAIUBA,2° Ano,Língua Portuguesa,2017,193.5,52.7,Desejável,0.3,3.1,0,0,7.5,0,9.2,79.9,352,359,102,1,9.68,1,11,0,0,27,0,33,287,181.55
ITAITINGA,2° Ano,Língua Portuguesa,2017,204.2,56.3,Desejável,1,2.9,0,0,5.4,0,9,81.6,668,686,102.7,1,10,7,20,0,0,37,0,62,560,181.55
MARACANAU,2° Ano,Língua Portuguesa,2017,171.7,49.3,Desejável,1,5.8,0,0,11.4,0,15,66.8,2629,2732,103.9,1,8.59,27,159,0,0,312,0,409,1825,181.55
MARANGUAPE,2° Ano,Língua Portuguesa,2017,179.6,45.8,Desejável,1,3.1,0,0,7,0,14.1,74.9,1214,1251,103,1,8.98,12,39,0,0,87,0,176,937,181.55
PACATUBA,2° Ano,Língua Portuguesa,2017,168.5,47.1,Desejável,1.4,5.8,0,0,9.8,0,18.5,64.5,752,775,103.1,1,8.42,11,45,0,0,76,0,143,500,181.55
AQUIRAZ,5° Ano,Língua Portuguesa,2017,217.99,46.3,Intermediário,0,0,1.99,16.96,36.59,44.46,0,0,1138,1156,101.58,1,7.15,0,0,23,196,423,514,0,0,215.88
CAUCAIA,5° Ano,Língua Portuguesa,2017,200.37,48.3,Intermediário,0,0,4.83,27.87,35.89,31.4,0,0,3841,3828,99.66,1,6.27,0,0,185,1067,1374,1202,0,0,215.88
EUSEBIO,5° Ano,Língua Portuguesa,2017,236.3,46.4,Adequado,0,0,0.81,9.34,29.44,60.41,0,0,955,985,103.14,1,8.06,0,0,8,92,290,595,0,0,215.88
GUAIUBA,5° Ano,Língua Portuguesa,2017,212.71,48.1,Intermediário,0,0,3.78,18.65,37.84,39.73,0,0,366,370,101.09,1,6.89,0,0,14,69,140,147,0,0,215.88
ITAITINGA,5° Ano,Língua Portuguesa,2017,216.31,49.5,Intermediário,0,0,3.15,18.71,34.79,43.36,0,0,560,572,102.14,1,7.07,0,0,18,107,199,248,0,0,215.88
MARACANAU,5° Ano,Língua Portuguesa,2017,216.2,48.1,Intermediário,0,0,2.16,18.64,36.05,43.15,0,0,3875,3933,101.5,1,7.06,0,0,85,733,1418,1697,0,0,215.88
MARANGUAPE,5° Ano,Língua Portuguesa,2017,213.94,44.8,Intermediário,0,0,1.96,18.64,39.4,40,0,0,1296,1325,102.24,1,6.95,0,0,26,247,522,530,0,0,215.88
PACATUBA,5° Ano,Língua Portuguesa,2017,213.22,47.1,Intermediário,0,0,2.89,19.4,36.99,40.72,0,0,802,830,103.49,1,6.91,0,0,24,161,307,338,0,0,215.88
AQUIRAZ,5° Ano,Matemática,2017,225,47.1,Intermediário,0,0,6.3,23.9,38.3,31.5,0,0,1138,1156,101.6,1,6.25,0,0,73,276,443,364,0,0,217.8
CAUCAIA,5° Ano,Matemática,2017,196.1,44.1,Crítico,0,0,15.6,40,32.5,11.8,0,0,3841,3828,99.7,1,4.8,0,0,599,1531,1245,453,0,0,217.8
EUSEBIO,5° Ano,Matemática,2017,248.9,45.9,Intermediário,0,0,2.2,13.3,32.3,52.2,0,0,955,985,103.1,1,7.44,0,0,22,131,318,514,0,0,217.8
GUAIUBA,5° Ano,Matemática,2017,214.4,49.3,Intermediário,0,0,11.4,27.1,36,25.5,0,0,366,369,100.8,1,5.72,0,0,42,100,133,94,0,0,217.8
ITAITINGA,5° Ano,Matemática,2017,219.5,46.1,Intermediário,0,0,6.8,27.6,39.9,25.7,0,0,560,572,102.1,1,5.98,0,0,39,158,228,147,0,0,217.8
MARACANAU,5° Ano,Matemática,2017,212.8,47,Intermediário,0,0,9.2,31.4,37.4,22.1,0,0,3875,3933,101.5,1,5.64,0,0,361,1233,1469,870,0,0,217.8
MARANGUAPE,5° Ano,Matemática,2017,215.8,45.6,Intermediário,0,0,6.6,32.2,37,24.2,0,0,1296,1325,102.2,1,5.79,0,0,88,426,490,321,0,0,217.8
PACATUBA,5° Ano,Matemática,2017,209.9,43.8,Intermediário,0,0,8.9,32.7,39.9,18.6,0,0,802,830,103.5,1,5.5,0,0,74,271,331,154,0,0,217.8
AQUIRAZ,9° Ano,Língua Portuguesa,2017,250,45.7,Crítico,0,0,14.3,35.1,37.1,13.5,0,0,937,906,96.7,0.9669,4.9805,0,0,130,318,336,122,0,0,253.73
CAUCAIA,9° Ano,Língua Portuguesa,2017,244,47.2,Crítico,0,0,19.6,34.8,33.2,12.4,0,0,3721,3583,96.3,0.9629,4.6831,0,0,703,1246,1191,443,0,0,253.73
EUSEBIO,9° Ano,Língua Portuguesa,2017,268,44.7,Intermediário,0,0,7.5,26.3,41.7,24.4,0,0,771,786,101.9,1,5.8923,0,0,59,207,328,192,0,0,253.73
GUAIUBA,9° Ano,Língua Portuguesa,2017,253,45.4,Intermediário,0,0,13.7,33.7,37.5,15.2,0,0,363,315,86.8,0.8678,5.1336,0,0,43,106,118,48,0,0,253.73
ITAITINGA,9° Ano,Língua Portuguesa,2017,255,48.2,Intermediário,0,0,15.2,26.9,38.1,19.8,0,0,499,501,100.4,1,5.2678,0,0,76,135,191,99,0,0,253.73
MARACANAU,9° Ano,Língua Portuguesa,2017,252,46.9,Intermediário,0,0,14.6,32.2,37.2,16,0,0,2955,2916,98.7,0.9868,5.0975,0,0,425,939,1084,468,0,0,253.73
MARANGUAPE,9° Ano,Língua Portuguesa,2017,252,46.2,Intermediário,0,0,14,33.7,37.1,15.2,0,0,1121,1128,100.6,1,5085,0,0,158,380,419,171,0,0,253.73
PACATUBA,9° Ano,Língua Portuguesa,2017,257,43.4,Intermediário,0,0,10.7,31,42.1,16.1,0,0,720,738,102.5,1,5.3515,0,0,79,229,311,119,0,0,253.73
AQUIRAZ,9° Ano,Matemática,2017,242.6,42.7,Crítico,0,0,38,38.5,20,3.5,0,0,937,906,96.7,0.9669,3.3794,0,0,344,349,181,32,0,0,244.54
CAUCAIA,9° Ano,Matemática,2017,234.3,41.3,Crítico,0,0,45.6,37.1,15.2,2.1,0,0,3721,3583,96.3,0.9629,2.9638,0,0,1633,1329,544,77,0,0,244.54
EUSEBIO,9° Ano,Matemática,2017,264.1,48.2,Crítico,0,0,23,35.5,29.3,12.2,0,0,771,786,101.9,1,4453,0,0,181,279,230,96,0,0,244.54
GUAIUBA,9° Ano,Matemática,2017,238.9,42.3,Crítico,0,0,42.2,38.1,15.6,4.1,0,0,363,315,86.8,0.8678,3.1962,0,0,133,120,49,13,0,0,244.54
ITAITINGA,9° Ano,Matemática,2017,245.7,42.3,Crítico,0,0,32.9,42.3,21.4,3.4,0,0,499,501,100.4,1,3.5327,0,0,165,212,107,17,0,0,244.54
MARACANAU,9° Ano,Matemática,2017,242.9,43.9,Crítico,0,0,38.7,36.8,21.2,3.3,0,0,2955,2916,98.7,0.9868,3.3946,0,0,1129,1072,618,97,0,0,244.54
MARANGUAPE,9° Ano,Matemática,2017,245.4,45,Crítico,0,0,35.2,39.5,20.4,4.9,0,0,1121,1128,100.6,1,3.5188,0,0,397,446,230,55,0,0,244.54
PACATUBA,9° Ano,Matemática,2017,242.4,42.8,Crítico,0,0,37.1,39.4,19.6,3.8,0,0,720,738,102.5,1,3.3678,0,0,274,291,145,28,0,0,244.54
AQUIRAZ,2° Ano,Língua Portuguesa,2018,167.8,47.1,Desejável,0.9,5.8,0,0,12.3,0,17.1,63.8,971,993,102.3,1,8.39,9,58,0,0,122,0,170,634,178.93
CAUCAIA,2° Ano,Língua Portuguesa,2018,152,48.3,Desejável,2.8,11.3,0,0,19.8,0,16.7,49.4,3736,3736,100,1,7.6,105,422,0,0,738,0,624,1847,178.93
EUSEBIO,2° Ano,Língua Portuguesa,2018,203.2,49.4,Desejável,0.1,0.7,0,0,2.6,0,10,86.6,789,814,103.2,1,10,1,6,0,0,21,0,81,705,178.93
GUAIUBA,2° Ano,Língua Portuguesa,2018,207.9,47.8,Desejável,0,0.9,0,0,3.3,0,7,88.8,325,330,101.5,1,10,0,3,0,0,11,0,23,293,178.93
ITAITINGA,2° Ano,Língua Portuguesa,2018,169.1,48.4,Desejável,1.9,6.8,0,0,10.6,0,13.9,66.7,503,517,102.8,1,8.46,10,35,0,0,55,0,72,345,178.93
MARACANAU,2° Ano,Língua Portuguesa,2018,175.4,46.7,Desejável,0.8,3.8,0,0,9,0,15.7,70.7,2458,2547,103.6,1,8.77,21,96,0,0,228,0,400,1802,178.93
MARANGUAPE,2° Ano,Língua Portuguesa,2018,185.8,47.8,Desejável,0.3,2.9,0,0,5.8,0,12.8,78.2,1098,1113,101.4,1,9.29,3,32,0,0,65,0,143,870,178.93
PACATUBA,2° Ano,Língua Portuguesa,2018,170.2,45,Desejável,1,3.6,0,0,12.4,0,14.7,68.4,680,702,103.2,1,8.51,7,25,0,0,87,0,103,480,178.93
AQUIRAZ,5° Ano,Língua Portuguesa,2018,220.33,46.3,Intermediário,0,0,1.2,17.21,36.75,44.84,0,0,1143,1162,101.66,1,7.27,0,0,14,200,427,521,0,0,218.96
CAUCAIA,5° Ano,Língua Portuguesa,2018,207.23,48.6,Intermediário,0,0,3.35,25.08,35.24,36.34,0,0,4010,3996,99.65,1,6.61,0,0,134,1002,1408,1452,0,0,218.96
EUSEBIO,5° Ano,Língua Portuguesa,2018,235.66,45.4,Adequado,0,0,0.53,9.32,30.17,59.98,0,0,1101,1127,102.36,1,8.03,0,0,6,105,340,676,0,0,218.96
GUAIUBA,5° Ano,Língua Portuguesa,2018,215.15,49.5,Intermediário,0,0,2.31,20,35.64,42.05,0,0,384,390,101.56,1,7.01,0,0,9,78,139,164,0,0,218.96
ITAITINGA,5° Ano,Língua Portuguesa,2018,220.52,45.6,Intermediário,0,0,1.26,16.27,36.04,46.42,0,0,693,713,102.89,1,7.28,0,0,9,116,257,331,0,0,218.96
MARACANAU,5° Ano,Língua Portuguesa,2018,214.26,48.8,Intermediário,0,0,2.33,21.2,34.59,41.88,0,0,3001,3085,102.8,1,6.96,0,0,72,654,1067,1292,0,0,218.96
MARANGUAPE,5° Ano,Língua Portuguesa,2018,220.58,45.9,Intermediário,0,0,1.19,16.34,34.73,47.74,0,0,1247,1261,101.12,1,7.28,0,0,15,206,438,602,0,0,218.96
PACATUBA,5° Ano,Língua Portuguesa,2018,217.95,48.6,Intermediário,0,0,2.37,18.96,32.94,45.73,0,0,814,844,103.69,1,7.15,0,0,20,160,278,386,0,0,218.96
AQUIRAZ,5° Ano,Matemática,2018,227.2,47.1,Intermediário,0,0,5.1,25,35.9,34,0,0,1143,1162,101.7,1,6.36,0,0,59,291,417,395,0,0,222.39
CAUCAIA,5° Ano,Matemática,2018,202.2,46,Intermediário,0,0,12.4,39,31.9,16.6,0,0,4010,3997,99.7,1,5.11,0,0,497,1558,1277,665,0,0,222.39
EUSEBIO,5° Ano,Matemática,2018,252.5,47.8,Adequado,0,0,1.8,13.2,31.2,53.9,0,0,1101,1129,102.5,1,7.62,0,0,20,149,352,608,0,0,222.39
GUAIUBA,5° Ano,Matemática,2018,221.6,47.4,Intermediário,0,0,5.6,29.7,33.5,31.2,0,0,384,391,101.8,1,6.08,0,0,22,116,131,122,0,0,222.39
ITAITINGA,5° Ano,Matemática,2018,216.2,44.4,Intermediário,0,0,5.9,32.3,38.1,23.7,0,0,693,713,102.9,1,5.81,0,0,42,230,272,169,0,0,222.39
MARACANAU,5° Ano,Matemática,2018,210.5,48.3,Intermediário,0,0,10.1,34.6,33.1,22.2,0,0,3001,3085,102.8,1,5.53,0,0,311,1068,1021,685,0,0,222.39
MARANGUAPE,5° Ano,Matemática,2018,226.7,48.6,Intermediário,0,0,6.2,24.4,35.3,34.1,0,0,1247,1261,101.1,1,6.34,0,0,78,308,445,430,0,0,222.39
PACATUBA,5° Ano,Matemática,2018,222.2,49.9,Intermediário,0,0,7,28.2,33.5,31.3,0,0,814,844,103.7,1,6.11,0,0,59,238,283,264,0,0,222.39
AQUIRAZ,9° Ano,Língua Portuguesa,2018,256,44.4,Intermediário,0,0,10,33.9,39.8,16.4,0,0,847,850,100.4,1,5.3042,0,0,85,288,338,139,0,0,258.43
CAUCAIA,9° Ano,Língua Portuguesa,2018,246,47.6,Crítico,0,0,17.9,34.6,34.3,13.1,0,0,3722,3594,96.6,0.9656,4.8012,0,0,645,1244,1233,472,0,0,258.43
EUSEBIO,9° Ano,Língua Portuguesa,2018,273,44.1,Intermediário,0,0,6.9,20.5,43.8,28.8,0,0,783,799,102,1,6.1592,0,0,55,164,350,230,0,0,258.43
GUAIUBA,9° Ano,Língua Portuguesa,2018,250,43.7,Crítico,0,0,12.8,38.4,36,12.8,0,0,254,258,101.6,1,4.9767,0,0,33,99,93,33,0,0,258.43
ITAITINGA,9° Ano,Língua Portuguesa,2018,264,42.5,Intermediário,0,0,7.1,28.8,43.8,20.3,0,0,535,507,94.8,0.9477,5.6911,0,0,36,146,222,103,0,0,258.43
MARACANAU,9° Ano,Língua Portuguesa,2018,260,46.3,Intermediário,0,0,11.3,27.9,39.9,21,0,0,2704,2739,101.3,1,5.4773,0,0,309,763,1093,574,0,0,258.43
MARANGUAPE,9° Ano,Língua Portuguesa,2018,258,44.2,Intermediário,0,0,9.6,32.2,40.1,18.1,0,0,1082,1099,101.6,1,5.4202,0,0,105,354,441,199,0,0,258.43
PACATUBA,9° Ano,Língua Portuguesa,2018,261,47.8,Intermediário,0,0,11.2,28.8,38.5,21.5,0,0,721,730,101.2,1,5.5436,0,0,82,210,281,157,0,0,258.43
AQUIRAZ,9° Ano,Matemática,2018,251.8,44.9,Crítico,0,0,28.2,41.5,24.2,6,0,0,847,850,100.4,1,3.8398,0,0,240,353,206,51,0,0,251.64
CAUCAIA,9° Ano,Matemática,2018,235.2,40.9,Crítico,0,0,44.2,38.2,15.2,2.4,0,0,3722,3594,96.6,0.9656,3.0085,0,0,1588,1373,548,85,0,0,251.64
EUSEBIO,9° Ano,Matemática,2018,277,50.2,Intermediário,0,0,16.8,30.8,33.2,19.3,0,0,783,799,102,1,5098,0,0,134,246,265,154,0,0,251.64
GUAIUBA,9° Ano,Matemática,2018,247.2,48.4,Crítico,0,0,37.6,37.6,17.1,7.8,0,0,254,258,101.6,1,3.6109,0,0,97,97,44,20,0,0,251.64
ITAITINGA,9° Ano,Matemática,2018,252.7,42.9,Crítico,0,0,28.4,42,24.7,4.9,0,0,535,507,94.8,0.9477,3.8834,0,0,144,213,125,25,0,0,251.64
MARACANAU,9° Ano,Matemática,2018,249.1,45.7,Crítico,0,0,32.8,37.9,23.8,5.5,0,0,2704,2739,101.3,1,3.7066,0,0,899,1038,652,150,0,0,251.64
MARANGUAPE,9° Ano,Matemática,2018,248.5,46.7,Crítico,0,0,33.2,40.9,18.8,7,0,0,1082,1099,101.6,1,3.6759,0,0,365,450,207,77,0,0,251.64
PACATUBA,9° Ano,Matemática,2018,251.6,44.3,Crítico,0,0,29.7,41,23.4,5.9,0,0,721,730,101.2,1,3.83,0,0,217,299,171,43,0,0,251.64
AQUIRAZ,2° Ano,Língua Portuguesa,2019,179.6,51.8,Desejável,1.1,4.4,0,0,9.7,0,14.2,70.6,984,1007,102.3,1,8.98,11,44,0,0,98,0,143,711,194.7
CAUCAIA,2° Ano,Língua Portuguesa,2019,159.6,53.4,Desejável,3,10,0,0,16.6,0,16.4,53.9,3915,3916,100,1,7.98,119,392,0,0,652,0,641,2112,194.7
EUSEBIO,2° Ano,Língua Portuguesa,2019,221.1,48,Desejável,0.3,0.9,0,0,1.5,0,4.1,93.3,656,684,104.3,1,10,2,6,0,0,10,0,28,638,194.7
GUAIUBA,2° Ano,Língua Portuguesa,2019,227.1,46.3,Desejável,0.3,0.3,0,0,1.1,0,4.2,94.2,374,377,100.8,1,10,1,1,0,0,4,0,16,355,194.7
ITAITINGA,2° Ano,Língua Portuguesa,2019,198.8,55.5,Desejável,0.6,3.2,0,0,6.8,0,10.1,79.3,519,526,101.3,1,9.94,3,17,0,0,36,0,53,417,194.7
MARACANAU,2° Ano,Língua Portuguesa,2019,187.9,50.3,Desejável,0.7,2.5,0,0,7.2,0,11.9,77.8,2115,2185,103.3,1,9.4,15,54,0,0,157,0,259,1700,194.7
MARANGUAPE,2° Ano,Língua Portuguesa,2019,200.2,48.1,Desejável,0.1,0.6,0,0,3.6,0,11,84.7,1109,1124,101.4,1,10,1,7,0,0,40,0,124,952,194.7
PACATUBA,2° Ano,Língua Portuguesa,2019,183.3,49,Desejável,0.7,2.7,0,0,9.1,0,10.8,76.7,729,769,105.5,1,9.17,5,21,0,0,70,0,83,590,194.7
AQUIRAZ,5° Ano,Língua Portuguesa,2019,220.72,47,Intermediário,0,0,2.05,15.58,35.02,47.35,0,0,1139,1168,102.55,1,7.29,0,0,24,182,409,553,0,0,220.82
CAUCAIA,5° Ano,Língua Portuguesa,2019,203.97,48.4,Intermediário,0,0,4.48,25.45,36.53,33.54,0,0,3901,3882,99.51,1,6.45,0,0,174,988,1418,1302,0,0,220.82
EUSEBIO,5° Ano,Língua Portuguesa,2019,235.56,48.7,Adequado,0,0,1.61,9.07,29.75,59.58,0,0,1032,1059,102.62,1,8.03,0,0,17,96,315,631,0,0,220.82
GUAIUBA,5° Ano,Língua Portuguesa,2019,214.18,47.5,Intermediário,0,0,2.7,20.39,33.66,43.24,0,0,407,407,100,1,6.96,0,0,11,83,137,176,0,0,220.82
ITAITINGA,5° Ano,Língua Portuguesa,2019,220.18,50.9,Intermediário,0,0,2.33,19,32.8,45.88,0,0,548,558,101.82,1,7.26,0,0,13,106,183,256,0,0,220.82
MARACANAU,5° Ano,Língua Portuguesa,2019,224.5,50.3,Intermediário,0,0,2.08,16.14,30.14,51.65,0,0,2701,2794,103.44,1,7.48,0,0,58,451,842,1443,0,0,220.82
MARANGUAPE,5° Ano,Língua Portuguesa,2019,223.86,47.5,Intermediário,0,0,1.92,15.28,32,50.8,0,0,1230,1250,101.63,1,7.44,0,0,24,191,400,635,0,0,220.82
PACATUBA,5° Ano,Língua Portuguesa,2019,223.55,48.8,Intermediário,0,0,2.12,16.83,29.43,51.62,0,0,867,897,103.46,1,7.43,0,0,19,151,264,463,0,0,220.82
AQUIRAZ,5° Ano,Matemática,2019,229.8,46.5,Intermediário,0,0,3.3,24.3,37.7,34.7,0,0,1139,1168,102.5,1,6.49,0,0,39,284,440,405,0,0,225.18
CAUCAIA,5° Ano,Matemática,2019,206.4,43.9,Intermediário,0,0,9.3,37.3,36.5,16.9,0,0,3901,3879,99.4,0.99,5.32,0,0,361,1447,1417,654,0,0,225.18
EUSEBIO,5° Ano,Matemática,2019,249.1,49.4,Intermediário,0,0,2.7,13.7,32.5,51.1,0,0,1032,1060,102.7,1,7.45,0,0,29,145,344,542,0,0,225.18
GUAIUBA,5° Ano,Matemática,2019,223.7,47.9,Intermediário,0,0,7.1,25.3,34.2,33.4,0,0,407,407,100,1,6.19,0,0,29,103,139,136,0,0,225.18
ITAITINGA,5° Ano,Matemática,2019,217.7,42.4,Intermediário,0,0,4.7,30,42.4,23,0,0,548,557,101.6,1,5.89,0,0,26,167,236,128,0,0,225.18
MARACANAU,5° Ano,Matemática,2019,221.3,47.8,Intermediário,0,0,6,28.7,37.3,28,0,0,2701,2794,103.4,1,6.07,0,0,167,802,1042,783,0,0,225.18
MARANGUAPE,5° Ano,Matemática,2019,228.2,45.6,Intermediário,0,0,4.2,22.7,40.2,32.8,0,0,1230,1249,101.5,1,6.41,0,0,53,284,502,410,0,0,225.18
PACATUBA,5° Ano,Matemática,2019,225.2,46.8,Intermediário,0,0,5.1,26.3,37.2,31.4,0,0,867,895,103.2,1,6.26,0,0,46,235,333,281,0,0,225.18
AQUIRAZ,9° Ano,Língua Portuguesa,2019,258,46.6,Intermediário,0,0,11.5,29.9,40.9,17.7,0,0,707,712,100.7,1,5412,0,0,82,213,291,126,0,0,256.54
CAUCAIA,9° Ano,Língua Portuguesa,2019,243,49.5,Crítico,0,0,21.8,32.1,33.2,13,0,0,3456,3333,96.4,0.9644,4.6273,0,0,726,1069,1105,433,0,0,256.54
EUSEBIO,9° Ano,Língua Portuguesa,2019,273,43.6,Intermediário,0,0,6,23.2,43.7,27.1,0,0,835,855,102.4,1,6.1493,0,0,51,198,374,232,0,0,256.54
GUAIUBA,9° Ano,Língua Portuguesa,2019,253,43.9,Intermediário,0,0,11.7,35.3,37.7,15.3,0,0,361,326,90.3,903,5.1709,0,0,38,115,123,50,0,0,256.54
ITAITINGA,9° Ano,Língua Portuguesa,2019,254,48.4,Intermediário,0,0,13.4,31.7,36.6,18.3,0,0,408,410,100.5,1,5.2183,0,0,55,130,150,75,0,0,256.54
MARACANAU,9° Ano,Língua Portuguesa,2019,260,47.8,Intermediário,0,0,11.8,28.3,38.6,21.3,0,0,2492,2534,101.7,1,5.4987,0,0,298,718,977,541,0,0,256.54
MARANGUAPE,9° Ano,Língua Portuguesa,2019,257,48.6,Intermediário,0,0,12.4,29.2,39.1,19.3,0,0,1121,1139,101.6,1,5.3633,0,0,141,333,445,220,0,0,256.54
PACATUBA,9° Ano,Língua Portuguesa,2019,254,47,Intermediário,0,0,14.3,31.4,37.1,17.2,0,0,752,768,102.1,1,5.1762,0,0,110,241,285,132,0,0,256.54
AQUIRAZ,9° Ano,Matemática,2019,254.3,47,Crítico,0,0,28.4,40.4,23.6,7.6,0,0,707,712,100.7,1,3.9651,0,0,202,288,168,54,0,0,249.28
CAUCAIA,9° Ano,Matemática,2019,233.2,40.6,Crítico,0,0,45.4,38.4,14.4,1.8,0,0,3456,3333,96.4,0.9644,2.9086,0,0,1514,1281,479,59,0,0,249.28
EUSEBIO,9° Ano,Matemática,2019,269.7,51.3,Crítico,0,0,21.6,32.5,31.1,14.7,0,0,835,855,102.4,1,4.7347,0,0,185,278,266,126,0,0,249.28
GUAIUBA,9° Ano,Matemática,2019,249.3,48.1,Crítico,0,0,35,36.8,19.9,8.3,0,0,361,326,90.3,903,3.7134,0,0,114,120,65,27,0,0,249.28
ITAITINGA,9° Ano,Matemática,2019,244.5,49,Crítico,0,0,37.6,36.6,18.8,7.1,0,0,408,410,100.5,1,3.4774,0,0,154,150,77,29,0,0,249.28
MARACANAU,9° Ano,Matemática,2019,249.9,45,Crítico,0,0,31.3,40.7,22.1,5.8,0,0,2492,2534,101.7,1,3.7452,0,0,794,1031,561,148,0,0,249.28
MARANGUAPE,9° Ano,Matemática,2019,249.8,46.7,Crítico,0,0,33.4,38.3,21.8,6.6,0,0,1121,1139,101.6,1,3.7378,0,0,380,436,248,75,0,0,249.28
PACATUBA,9° Ano,Matemática,2019,243.5,41.9,Crítico,0,0,35.1,42.5,18.6,3.8,0,0,752,769,102.3,1,3427,0,0,270,327,143,29,0,0,249.28
AQUIRAZ,2° Ano,Língua Portuguesa,2022,163.4,49,Desejável,2,6.8,0,0,14.5,0,18.3,58.5,1086,1110,102.2,1,8.17,22,75,0,0,161,0,203,649,173.14
CAUCAIA,2° Ano,Língua Portuguesa,2022,156.2,51.1,Desejável,3.5,10.3,0,0,16.3,0,17.2,52.7,3743,3775,100.9,1,7.81,134,389,0,0,616,0,648,1988,173.14
EUSEBIO,2° Ano,Língua Portuguesa,2022,217.5,49.1,Desejável,0,0.3,0,0,2,0,7.5,90.3,988,1019,103.1,1,10,0,3,0,0,20,0,76,920,173.14
GUAIUBA,2° Ano,Língua Portuguesa,2022,167.1,50,Desejável,1.5,5.2,0,0,12.7,0,20,60.6,329,330,100.3,1,8.36,5,17,0,0,42,0,66,200,173.14
