Município,Etapa,Componente Curricular,Previstos,Avaliados,Avaliados  entre os previstos,Proficiência média 2023,Proficiência média 2022,Não alfabetizado,Alfabetização incompleta,Muito crítico,Crítico,Intermediário,Adequado,Suficiente,Desejável,H 01 ,H 02 ,H 03 ,H 04 ,H 05 ,H 06 ,H 07 ,H 08 ,H 09 ,H 10 ,H 11 ,H 12 ,H 13 ,H 14 ,H 15 ,H 16 ,H 17 ,H 18 ,H 19 ,H 20 ,H 21 ,H 22 ,H 23 ,H 24 ,H 25 ,H 26 ,H 27 ,H 28 ,H 29 ,H 30 ,H 31 ,H 32 ,H 33 ,H 34 ,H 35 ,H 36 ,H 37 
MARACANAU,9° Ano,Matemática,3449,3315,96,244,245,0,0,40,36,19,6,0,0,30,54,23,58,46,53,42,40,43,42,40,29,26,21,44,29,38,74,36,49,27,23,62,46,51,40,49,35,49,68,35,55,27,31,28,22,42
MARANGUAPE,2° Ano,Língua Portuguesa,1259,1198,95,209,168,0,1,0,0,5,0,6,88,92,95,92,82,81,71,79,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARANGUAPE,5° Ano,Língua Portuguesa,1246,1187,95,222,223,0,0,3,16,32,48,0,0,65,75,56,72,67,59,62,58,65,69,64,61,57,60,85,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARANGUAPE,5° Ano,Matemática,1246,1189,95,214,209,0,0,6,34,40,20,0,0,55,50,50,58,49,46,32,25,29,38,42,50,63,53,48,64,34,44,38,27,69,83,19,56,0,0,0,0,0,0,0,0,0,0,0,0,0
MARANGUAPE,9° Ano,Língua Portuguesa,1288,1237,96,257,259,0,0,16,26,38,20,0,0,71,55,52,73,75,68,83,61,57,66,61,58,59,70,66,59,57,66,53,54,73,58,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARANGUAPE,9° Ano,Matemática,1288,1237,96,247,246,0,0,36,38,22,5,0,0,31,59,22,58,47,50,46,45,45,45,37,29,28,21,46,27,37,75,36,51,25,21,66,46,49,42,51,39,49,67,37,55,24,31,27,19,41
PACATUBA,2° Ano,Língua Portuguesa,874,913,104,198,157,0,1,0,0,4,0,10,85,91,96,91,79,72,62,71,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACATUBA,5° Ano,Língua Portuguesa,785,797,102,215,211,0,0,3,20,32,44,0,0,63,68,51,68,64,60,63,57,64,69,59,56,53,55,83,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACATUBA,5° Ano,Matemática,785,797,102,219,208,0,0,6,30,39,25,0,0,55,53,42,59,55,48,38,33,36,45,44,52,63,58,49,67,37,46,41,28,70,82,14,61,0,0,0,0,0,0,0,0,0,0,0,0,0
PACATUBA,9° Ano,Língua Portuguesa,854,881,103,256,256,0,0,15,27,38,20,0,0,71,50,53,72,74,68,83,61,53,67,62,59,56,71,66,57,61,63,55,59,75,58,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACATUBA,9° Ano,Matemática,854,881,103,242,244,0,0,39,38,19,4,0,0,29,54,23,57,42,52,41,40,44,44,37,30,26,23,43,29,41,71,35,47,24,22,64,40,50,41,49,31,49,68,36,51,24,23,26,23,38
