Código da Regional;Município;Componente Curricular;Rede;Etapa;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
00001 ;AQUIRAZ;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;991;955;96;66;23%;22%;55%;66;74;65;41;62;70;78;75;63;50;47;89
00001 ;CAUCAIA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;3765;3487;93;54;34%;25%;40%;55;64;56;39;58;62;70;65;52;35;36;82
00001 ;EUSEBIO;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1039;993;96;75;14%;21%;65%;70;79;72;44;65;76;87;78;68;57;49;94
00001 ;GUAIUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;298;284;95;64;23%;26%;51%;68;74;62;41;60;66;79;72;59;49;52;87
00001 ;ITAITINGA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;644;581;90;61;28%;23%;50%;62;72;59;39;61;64;76;68;57;44;40;88
00001 ;MARACANAU;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;2812;2220;79;66;24%;21%;55%;63;71;63;40;62;70;78;74;61;49;43;86
00001 ;MARANGUAPE;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1030;896;87;63;26%;25%;49%;62;68;64;44;62;68;78;72;60;39;42;85
00001 ;PACATUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;805;751;93;62;27%;23%;50%;62;69;64;41;61;66;76;71;60;40;43;88
