Código da Regional;Município;Componente Curricular;Rede;Etapa;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%)
00001 ;AQUIRAZ;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1195;1139;95;64;26%;23%;51%;69;67;62;50;44;69;69
00001 ;CAUCAIA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4201;3799;90;53;38%;23%;39%;60;58;57;45;39;60;62
00001 ;EUSEBIO;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;990;949;96;74;17%;20%;63%;77;72;69;57;49;78;76
00001 ;GUAIUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;342;309;90;63;27%;24%;49%;67;68;62;46;41;69;68
00001 ;ITAITINGA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;707;634;90;58;35%;21%;44%;63;66;60;46;40;62;62
00001 ;MARACANAU;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;3057;92;3;63;34%;9%;58%;69;63;62;52;40;68;68
00001 ;MARANGUAPE;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1168;1077;92;63;28%;24%;48%;68;66;62;52;43;68;69
00001 ;PACATUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;989;941;95;57;35%;22%;44%;66;62;59;47;39;64;64
