Código da Regional;Município;Componente Curricular;Rede;Etapa;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
00001 ;AQUIRAZ;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1197;1142;95;53;35%;26%;40%;66;60;59;36;49;42;75;67;72;71;45;69
00001 ;CAUCAIA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;4193;3809;91;37;50%;26%;23%;56;43;49;30;44;36;69;54;64;61;32;63
00001 ;EUSEBIO;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;992;937;94;54;33%;26%;41%;67;63;58;37;52;47;75;67;72;74;42;64
00001 ;GUAIUBA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;341;308;90;49;35%;30%;35%;69;53;56;33;51;38;69;65;74;72;36;69
00001 ;ITAITINGA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;707;629;89;48;41%;24%;35%;63;56;55;30;45;37;70;62;64;66;54;66
00001 ;MARACANAU;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;3056;90;3;48;41%;24%;34%;63;56;51;36;59;42;64;69;64;71;34;61
00001 ;MARANGUAPE;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;1166;1034;89;49;36%;29%;34%;66;55;55;32;49;37;73;63;73;71;43;69
00001 ;PACATUBA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;989;939;95;46;42%;25%;32%;61;49;54;27;45;38;72;59;63;64;48;67
