Código da Regional;Município;Componente Curricular;Rede;Etapa;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
00001 ;AQUIRAZ;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1122;1059;94;69;17%;28%;55%;75;65;79;91;82;77;85;47;69;50
00001 ;CAUCAIA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;3920;3565;91;49;35%;34%;31%;54;53;68;81;72;68;78;36;59;42
00001 ;EUSEBIO;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;888;818;92;71;14%;28%;58%;77;67;78;95;87;81;90;46;72;42
00001 ;GUAIUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;281;256;91;55;29%;36%;35%;66;52;73;87;76;74;84;32;56;41
00001 ;ITAITINGA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;700;620;89;54;32%;31%;37%;59;54;69;86;71;71;80;41;61;40
00001 ;MARACANAU;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;2905;2;0;0;100%;0%;0%;0;0;50;25;0;50;0;17;75;0
00001 ;MARANGUAPE;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1070;1010;94;59;24%;34%;42%;64;59;73;88;78;73;83;40;65;41
00001 ;PACATUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;860;765;89;50;34%;34%;32%;60;53;71;84;73;68;76;33;57;38
