Código da Regional;Município;Componente Curricular;Rede;Etapa;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%)
00001 ;AQUIRAZ;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;1085;990;91;36;54%;24%;22%;60;59;52;67;51;53;65;65;66;32;58;25;29;56;51;74
00001 ;CAUCAIA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;4433;4017;91;39;49%;30%;22%;65;61;49;77;44;54;67;71;76;38;62;26;26;62;44;83
00001 ;EUSEBIO;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;1040;979;94;55;30%;30%;40%;75;70;56;84;56;64;76;78;86;36;74;29;41;68;58;89
00001 ;GUAIUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;309;277;90;46;37%;35%;27%;73;65;54;87;52;60;70;73;83;35;66;25;32;65;51;86
00001 ;ITAITINGA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;667;578;87;46;40%;31%;29%;69;67;52;81;52;60;72;72;80;32;65;28;30;66;58;82
00001 ;MARACANAU;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;3038;255;8;53;33%;28%;38%;74;69;53;85;57;62;74;79;82;39;70;24;30;74;62;87
00001 ;MARANGUAPE;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;1197;1065;89;49;33%;36%;31%;73;68;57;86;49;64;70;77;85;37;71;27;31;67;51;88
00001 ;PACATUBA;LP;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO;861;808;94;40;47%;31%;22%;66;63;50;80;45;55;70;72;79;37;62;26;24;62;44;86
