Código da Regional;Município;Componente Curricular;Rede;Etapa;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%)
00001 ;AQUIRAZ;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;1129;1007;89;19;76%;17%;6%;47;55;53;45;37;54;39;48;40;35;51;46;52;31;29;39;42;30;20;58;31;46;58
00001 ;CAUCAIA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;4282;3911;91;8;92%;7%;1%;36;48;36;34;25;40;30;41;33;30;36;43;48;24;27;28;39;17;21;44;24;41;46
00001 ;EUSEBIO;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;1124;1060;94;21;75%;18%;7%;43;62;53;50;37;52;37;54;39;41;55;54;58;37;33;35;38;28;18;58;26;50;64
00001 ;GUAIUBA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;298;277;93;15;82%;15%;3%;40;51;42;48;28;45;37;50;37;30;51;48;53;27;28;27;37;21;17;60;26;48;57
00001 ;ITAITINGA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;714;637;89;14;84%;14%;2%;41;53;47;42;28;55;41;54;38;35;41;46;57;22;27;29;39;18;16;56;29;45;61
00001 ;MARACANAU;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;3277;2693;82;13;85%;12%;3%;41;54;46;37;29;47;34;45;37;34;41;48;54;26;32;30;40;24;22;47;28;43;56
00001 ;MARANGUAPE;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;1252;1094;87;11;87%;12%;1%;38;52;49;38;30;45;32;46;37;33;43;41;53;22;33;23;43;21;23;50;25;44;55
00001 ;PACATUBA;MT;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO;848;786;93;10;90%;8%;2%;36;52;44;34;28;43;35;41;33;31;42;42;54;26;24;25;45;17;20;52;26;45;53
